Oconee,GA,3532,61,
Oglethorpe,GA,1369,24,
Paulding,GA,14142,173,
Peach,GA,2388,47,
Pickens,GA,3035,63,
Pierce,GA,2290,49,
Pike,GA,2003,31,
Polk,GA,5141,74,
Pulaski,GA,868,37,
Putnam,GA,1960,46,
Quitman,GA,151,1,
Rabun,GA,1548,44,
Randolph,GA,588,32,
Richmond,GA,22301,408,
Rockdale,GA,6331,139,
Schley,GA,302,3,
Screven,GA,872,21,
Seminole,GA,895,17,
Spalding,GA,5381,151,
Stephens,GA,2949,72,
Stewart,GA,851,21,
Sumter,GA,2407,92,
Talbot,GA,442,15,
Taliaferro,GA,112,1,
Tattnall,GA,2159,56,
Taylor,GA,750,23,
Telfair,GA,1240,50,
Terrell,GA,740,39,
Thomas,GA,4148,112,
Tift,GA,4635,118,
Toombs,GA,3173,100,
Towns,GA,1081,49,
Treutlen,GA,826,22,
Troup,GA,6856,189,
Turner,GA,954,31,
Twiggs,GA,609,34,
Union,GA,2042,65,
Upson,GA,3183,109,
Walker,GA,6415,74,
Walton,GA,9129,205,
Ware,GA,4542,141,
Warren,GA,488,11,
Washington,GA,2036,65,
Wayne,GA,3259,72,
Webster,GA,134,4,
Wheeler,GA,614,23,
White,GA,3025,72,
Whitfield,GA,15742,209,
Wilcox,GA,783,44,
Wilkes,GA,1002,21,
Wilkinson,GA,861,22,
Worth,GA,1674,60,
Hawaii,HI,2256,53,
Honolulu,HI,21928,343,
Kalawao,HI,1,0,
Kauai,HI,182,1,
Maui,HI,2595,30,
Adair,IA,790,26,
Adams,IA,317,3,
Allamakee,IA,1386,41,
Appanoose,IA,1202,47,
Audubon,IA,464,9,
Benton,IA,2320,54,
Black Hawk,IA,14757,284,
Boone,IA,2380,30,
Bremer,IA,2628,53,
Buchanan,IA,1732,27,
Buena Vista,IA,4058,36,
Butler,IA,1570,31,
Calhoun,IA,1274,10,
Carroll,IA,2639,47,
Cass,IA,1241,48,
Cedar,IA,1650,22,
Cerro Gordo,IA,4939,79,
Cherokee,IA,1431,35,
Chickasaw,IA,1180,13,
Clarke,IA,922,20,
Clay,IA,1823,25,
Clayton,IA,1588,53,
Clinton,IA,4914,82,
Crawford,IA,2471,35,
Dallas,IA,9905,88,
Davis,IA,749,23,
Decatur,IA,550,9,
Delaware,IA,1844,38,
Des Moines,IA,4186,56,
Dickinson,IA,1989,38,
Dubuque,IA,12202,191,
Emmet,IA,1136,39,
Fayette,IA,1757,32,
Floyd,IA,1462,38,
Franklin,IA,1082,19,
Fremont,IA,548,9,
Greene,IA,722,10,
Grundy,IA,1294,30,
Guthrie,IA,1074,28,
Hamilton,IA,1719,40,
Hancock,IA,1362,28,
Hardin,IA,1660,35,
Harrison,IA,1650,68,
Henry,IA,2774,35,
Howard,IA,974,21,
Humboldt,IA,1118,23,
Ida,IA,804,32,
Iowa,IA,1365,23,
Jackson,IA,2075,37,
Jasper,IA,3692,65,
Jefferson,IA,1267,32,
Johnson,IA,12906,72,
Jones,IA,2835,54,
Keokuk,IA,904,29,
Kossuth,IA,1941,54,
Lee,IA,3483,51,
Linn,IA,19202,305,
Louisa,IA,1203,41,
Lucas,IA,695,21,
Lyon,IA,1440,41,
Madison,IA,1379,17,
Mahaska,IA,2120,44,
Marion,IA,3346,66,
Marshall,IA,4569,70,
Mills,IA,1461,20,
Mitchell,IA,1189,40,
Monona,IA,757,25,
Monroe,IA,873,27,
Montgomery,IA,958,36,
Muscatine,IA,4138,88,
Obrien,IA,1774,58,
Osceola,IA,667,14,
Page,IA,1692,19,
Palo Alto,IA,988,21,
Plymouth,IA,3630,77,
Pocahontas,IA,804,19,
Polk,IA,50544,537,
Pottawattamie,IA,9666,140,
Poweshiek,IA,1455,29,
Ringgold,IA,495,16,
Sac,IA,1160,17,
Scott,IA,16852,200,
Shelby,IA,1135,32,
Sioux,IA,4719,67,
Story,IA,9363,45,
Tama,IA,1985,64,
Taylor,IA,634,11,
Union,IA,1177,31,
Van Buren,IA,533,17,
Wapello,IA,3877,105,
Warren,IA,5002,69,
Washington,IA,2370,43,
Wayne,IA,443,21,
Webster,IA,4872,85,
Winnebago,IA,1275,30,
Winneshiek,IA,1783,26,
Woodbury,IA,13559,210,
Worth,IA,650,4,
Wright,IA,1716,31,
Ada,ID,46162,428,
Adams,ID,325,3,
Bannock,ID,7758,93,
Bear Lake,ID,342,2,
Benewah,ID,575,7,
Bingham,ID,4198,62,
Blaine,ID,2136,16,
Boise,ID,301,2,
Bonner,ID,2935,30,
Bonneville,ID,11878,143,
Boundary,ID,804,10,
Butte,ID,197,1,
Camas,ID,69,0,
Canyon,ID,24497,271,
Caribou,ID,622,11,
Cassia,ID,2842,25,
Clark,ID,53,0,
Clearwater,ID,993,12,
Custer,ID,229,3,
Elmore,ID,1587,12,
Franklin,ID,1075,15,
Fremont,ID,983,14,
Gem,ID,1688,30,
Gooding,ID,1257,24,
Indiana,ID,1179,17,
Jefferson,ID,2390,21,
Jerome,ID,2484,20,
Kootenai,ID,16463,174,
Latah,ID,2643,6,
Lemhi,ID,492,9,
Lewis,ID,375,6,
Lincoln,ID,483,11,
Madison,ID,6172,21,
Minidoka,ID,2269,29,
Nez Perce,ID,3337,51,
Oneida,ID,324,3,
Owyhee,ID,999,24,
Payette,ID,2371,31,
Power,ID,632,8,
Shoshone,ID,994,32,
Teton,ID,1061,4,
Twin Falls,ID,8948,122,
Valley,ID,790,5,
Washington,ID,1172,21,
Adams,IL,7944,142,
Alexander,IL,442,8,
Bond,IL,1880,29,
Boone,IL,5894,83,
Brown,IL,656,12,
Bureau,IL,3248,86,
Calhoun,IL,472,5,
Carroll,IL,1553,35,
Cass,IL,1868,31,
Champaign,IL,17804,130,
Christian,IL,3264,80,
Clark,IL,1663,37,
Clay,IL,1421,46,
Clinton,IL,5537,98,
Coles,IL,5117,91,
Cook,IL,468690,9790,
Crawford,IL,1994,37,
Cumberland,IL,1175,30,
De Witt,IL,1270,29,
